Katman | Önem | Bulgu | Neden sorun | Önerilen çözüm
Mobile / Auth Bridge / Web-Owned Flows | Yüksek | Mobile opens owned web URLs with only ?embed=mobile; it does not hand off the bearer session to a web cookie before connector OAuth or web billing pages. | Password-login and native-Apple mobile users can be fully authenticated in the app but hit unauthenticated web-cookie-only flows such as /api/partner-consents/oauth/initiate and /settings/subscription. | Add a short-lived mobile-to-web session handoff endpoint that sets the web cookie from the current bearer token, or replace those flows with native/bearer-compatible endpoints.
Mobile / Workspace Context | Yüksek | Mobile has a workspace picker but the API client never sends X-Workspace-Id and no mobile code references that header. | Address, service, moving, budget, provider, export, and connector calls fall back to the backend default workspace instead of the workspace the user selected in Settings. | Persist selected workspace id in mobile state/AsyncStorage and attach x-workspace-id to all domain API calls; refresh it after invite accept, leave, create, and ownership changes.
Mobile / Services / Budget Logic | Orta | Several mobile surfaces still sum raw monthlyCost as monthly spend even though shared code documents it as the per-cycle amount. | Yearly, quarterly, weekly, and one-time services are overstated in Services and dashboard/savings insights, while Budget and Address cards use monthlyAmountForCycle, so the app shows contradictory spend. | Replace raw sums with the shared monthlyAmountForCycle/normalizeServiceCost helpers in services tab, dashboard insights, service detail stats, and savings cards.
Mobile / Address Lifecycle | Orta | Mobile address list and detail classify Past addresses by endDate, but new/edit address screens do not expose endDate and edit omits startDate too. | Users cannot mark an old address as past or correct move-in/out dates from mobile even though the UI warns about past addresses with services. | Add startDate/endDate controls to mobile edit/new flows and share the same semantic date validation used by the backend/web.
Mobile / Address Validation | Orta | Mobile validates state only by length and zip by regex; it defines US_STATES but does not enforce membership. | Invalid state abbreviations such as XX can be submitted until backend rejection or can produce poor provider/state-rule recommendations if accepted elsewhere. | Use the shared address validator or enforce US state membership in mobile before save; keep autocomplete metadata only when the normalized fields still match.
Mobile / Privacy / Push Tokens | Orta | Forced 401 logout clears local state but cannot unregister the Expo push token; manual logout/delete unregister before clearing. | A device signed out due to expired or invalid session can continue receiving old-account push notifications until the server prunes or the user signs in and out again. | Track device token lifecycle server-side by session, prune tokens when mobile sessions are invalidated, or perform a best-effort unregister before clearing when the token is still accepted.
Mobile / Invite Cache / Account Switching | Orta | clearSensitiveLocalState does not remove locateflow.pendingInviteToken even though invite tokens are device-keyed. | A stale invite captured before logout can survive account switching and be retried by the next session; server email checks reduce impact but the device can still carry another user invite credential. | Add locateflow.pendingInviteToken to sensitive cleanup and namespace pending invites by intended email/session when available.
Mobile / Build Config / Preview Safety | Orta | preview and staging-preview EAS profiles point at https://locateflow.com/api and https://locateflow.com. | Internal QA builds can mutate production accounts/data while store purchases are disabled, making testing safer for billing but not for core data. | Add a real staging backend/app origin for preview profiles or rename the profile to production-preview and require an unmistakable in-app production watermark.
Mobile / Store Compliance / Privacy Metadata | Orta | app.json declares NSPrivacyCollectedDataTypes as an empty array while the app handles account, address, purchase, support, push, analytics, and crash data. | App Store privacy review and the product privacy label can drift from actual data collection, especially with subscriptions and support tickets. | Audit Apple privacy manifest/App Store Connect labels and declare the relevant collected-data categories and third-party SDK practices.
Mobile / iOS Widget | Orta | iOS WidgetKit reads App Group UserDefaults, but writeSnapshotToAppGroup is an intentional no-op. | Android widget updates can be requested from JS, while the iOS widget extension has no live data bridge and will not receive dashboard snapshots after install. | Implement a native App Group storage bridge plus WidgetCenter.reloadAllTimelines and add a device/EAS verification test for iOS widget refresh.
Mobile / Apple Native Auth | Orta | Native Apple sign-in does not generate/send a nonce, and the server only checks nonce when both request and token include one. | A valid Apple identity token is still verified, but replay resistance is weaker than the intended nonce-bound OAuth pattern. | Generate a cryptographic nonce in the client, pass it to Apple sign-in, and require the expected nonce/hash in /api/mobile/auth/apple/native.
Mobile / IAP Verification Resilience | Orta | /api/mobile/iap/verify can fall back to locally verified Apple transaction JWS when App Store server lookup fails. | The signed transaction proves purchase fields, but latest refund, revocation, grace, or renewal status can be stale until webhook/next refresh. | On Apple API outage, grant only a short PENDING_VALIDATION entitlement or return retryable 503 for new paid access; keep local-JWS fallback for restore display only.
Mobile / Reminder Deep Links | Orta | Reminders screen pushes notificationHref directly, while Notifications screen maps web hrefs such as /moving/plan/:id to mobile routes. | Reminder rows can navigate to routes that do not exist in the mobile app even though the same feed item works from the notifications inbox. | Reuse a shared resolveMobileHref helper in Reminders before router.push and mark rows without supported destinations as notification-only.
Mobile / Offline Coverage | Düşük | React Query is offlineFirst for reads, but caches are memory-only and mutations are network-only; only dashboard/widget snapshots persist. | On flaky/offline devices, most CRUD screens lose unsaved form state and have no retry queue despite offline being in scope. | Add draft persistence for long forms and an explicit retry queue for safe/idempotent mutations, or document offline as read-only dashboard recovery.
Mobile / Custom Provider Links | Düşük | Custom provider detail opens provider.website directly, unlike provider detail which normalizes missing schemes to https://. | User-entered websites like example.com can fail to open or behave inconsistently across iOS/Android. | Normalize custom-provider website URLs before Linking.openURL and validate schemes server-side.
Mobile / QA / IAP Tests | Orta | pnpm --filter @locateflow/mobile test fails 4 reconcilePendingPurchases tests because reportIapIssue reads global __DEV__ in Vitest. | Cold-start store purchase recovery is an important billing safety net, and its regression tests currently fail before they can assert finishTransaction/verification behavior. | Define __DEV__ in Vitest setup or guard with typeof __DEV__ !== "undefined"; keep the IAP recovery tests in CI after the environment fix.
