"id","app","area","routeOrScreen","filePath","componentOrFunction","issueType","severity","currentTextOrKey","expectedBehavior","missingLocale","evidence","recommendedFix","testToAdd","needsManualTranslationReview"
"WEB-001","web","auth","/sign-in","apps/web/src/app/sign-in/page.tsx","SignInForm","HARDCODED_ENGLISH","High","Password sign-in is available now. Social sign-in will be enabled after admin OAuth credentials are added.","Spanish mode should render the OAuth readiness note from auth.* translations.","es","Line 191 hardcodes the readiness note while sign-up uses auth.oauthReadinessNote.","Replace with tAuth('oauthReadinessNote') or provider-specific localized messages.","Render /sign-in with NEXT_LOCALE=es and OAuth disabled; assert Spanish readiness note.","false"
"WEB-002","web","auth","/sign-in","apps/web/src/app/sign-in/page.tsx","SignInForm","NEEDS_MANUAL_REVIEW","Low","tAuth('orContinueWith').replace(/.*\s/, '')","Translated divider text should not be generated by English-oriented string slicing.","es","Divider derives text by regex over a localized sentence.","Add a dedicated short divider key, e.g. auth.orEmail.","Spanish sign-in snapshot covers divider text.","true"
"WEB-003","web","auth","/sign-up","apps/web/src/app/sign-up/page.tsx","SignUpPage","HARDCODED_ENGLISH","High","You will review and accept LocateFlow Terms and Legal Disclaimer before using the app.","Spanish mode should render translated legal acknowledgement copy and links.","es","Line 231 hardcodes the legal review paragraph and link labels.","Use existing/legal auth keys or add a structured rich-text translation key.","Render /sign-up in Spanish and assert legal reminder is Spanish.","true"
"WEB-004","web","auth","/verify-email","apps/web/src/app/verify-email/page.tsx","VerifyEmailPage","ROUTE_NOT_LOCALIZED","High","Verify your email; We sent a verification link; Sign in; Back to home","Verify-email landing should use auth/common keys for all visible text.","es","Lines 46-58 hardcode title, body, and actions; no next-intl usage in file.","Wire useTranslations/getTranslations and add missing verify-email page keys if needed.","Render /verify-email?email=x with NEXT_LOCALE=es.","false"
"WEB-005","web","auth","/verify-email","apps/web/src/app/verify-email/resend-verification-button.tsx","ResendVerificationButton","TOAST_OR_ALERT_NOT_LOCALIZED","High","Could not resend verification email.; Verification email sent. Check your inbox.; Network error. Please try again.; Resend verification email","Resend button, success, and errors should be localized.","es","Line 48 button text plus English setMessage branches.","Use auth/toast keys and map API codes instead of raw English strings.","Click resend in Spanish test with mocked success/failure.","false"
"WEB-006","web","onboarding","/onboarding","apps/web/src/app/onboarding/page.tsx","OnboardingPage","ROUTE_NOT_LOCALIZED","Critical","Profile; Address; Services; Moving; Browse by category; Recommended Listed Providers; Continue","The entire first-run onboarding flow should render Spanish when locale is es.","es","File has no useTranslations and hardcodes step labels, headings, CTA labels, and navigation.","Localize the route by moving all copy to onboarding/services/addresses/moving namespaces.","Spanish onboarding e2e covers all steps and sticky nav.","false"
"WEB-007","web","onboarding","/onboarding","apps/web/src/app/onboarding/page.tsx","saveProfile/saveAddress/saveServices/saveMovingPlan","VALIDATION_MESSAGE_NOT_LOCALIZED","Critical","First name and last name are required.; State must be a 2-letter code; ZIP code must be 5 digits; Failed to save profile","Validation and save errors should use localized validation/onboarding keys.","es","Line 324 and related handlers set English error strings directly.","Replace state strings with t('onboarding.error_*') and localized field validation helpers.","Spanish onboarding validation test for each step.","false"
"WEB-008","web","onboarding","/onboarding","apps/web/src/app/onboarding/page.tsx","SensitiveProfileSection","HARDCODED_ENGLISH","High","These fields are sensitive under US and EU privacy law... Settings -> Privacy","Sensitive-profile disclosure should be translated and reviewed legally.","es","Line 806 contains English sensitive-data disclosure in JSX.","Use legal/privacy/onboarding translation keys with rich text support.","Spanish snapshot of sensitive profile section.","true"
"WEB-009","web","dashboard","/dashboard","apps/web/src/app/(app)/dashboard/dashboard-client.tsx","DashboardClient","WRONG_FALLBACK","Medium","Origin; Destination; /mo; raw category.replace('_',' ')","Dashboard fallback labels and cost suffix should be localized.","es","Dashboard uses English fallback strings and raw category formatting outside translation keys.","Use dashboard/common/category keys and Intl.NumberFormat unit/currency formatting.","Spanish dashboard test with missing city and service categories.","false"
"WEB-010","web","dashboard","/dashboard","apps/web/src/app/(app)/dashboard/dashboard-client.tsx","DashboardClient","HARDCODED_ENGLISH","Medium","Phase {n}: {phaseInfo.label}; checklist titles/descriptions/stateNote","Shared relocation checklist labels should be localized before rendering.","es","Dashboard renders shared checklist phases/items generated from packages/shared English constants.","Return translation keys from shared or map shared IDs to localized copy in web.","Dashboard Spanish test with generated checklist fixtures.","false"
