implementationBatch,sourceCsvRow,state,priority,category,providerName,proposedSlug,providerRole,officialWebsite,sourceType,candidateRecommendedAction,codexDecision,existingMatchedSlug,existingMatchReason,normalizedDomain,existingDomainSlugs,coverageModel,recommendedZipPrefixesIfKnown,exactZipsIfKnown,addressCheckRequired,shouldCreateMovingTask,shouldShowInNormalRecommendations,shouldShowTrackAsService,riskLevel,codexReason
BATCH_2_LOCAL_UTILITY_REVIEW,32,AK,High,UTILITY_SEWER,City and Borough of Juneau Wastewater Utility,juneau-wastewater-utility,START_STOP_SERVICE_PROVIDER,https://juneau.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,juneau-water-utility,Same Juneau customer utility account as the planned water row; fold wastewater into one municipal account.,juneau.org,,existing_provider_update,998,,yes,no,no,no,MEDIUM,Same Juneau customer utility account as the planned water row; fold wastewater into one municipal account.
BATCH_2_LOCAL_UTILITY_REVIEW,31,AK,High,UTILITY_SEWER,College & Golden Heart Utilities Wastewater,college-golden-heart-utilities-wastewater,START_STOP_SERVICE_PROVIDER,https://www.mywater.us/alaska/about-us-menu,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,college-golden-heart-utilities-water,Same College & Golden Heart Utilities account as the planned water row; avoid duplicate water/sewer providers.,mywater.us,,existing_provider_update,997,,yes,no,no,no,MEDIUM,Same College & Golden Heart Utilities account as the planned water row; avoid duplicate water/sewer providers.
BATCH_2_LOCAL_UTILITY_REVIEW,33,AK,High,UTILITY_SEWER,Ketchikan Public Utilities Wastewater,ketchikan-public-utilities-wastewater,START_STOP_SERVICE_PROVIDER,https://www.ketchikan.gov,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,ketchikan-public-utilities-electric,Same Ketchikan Public Utilities account/domain as the existing Batch 1 electric row.,ketchikan.gov,ketchikan-public-utilities-electric,existing_provider_update,999,,yes,no,no,no,MEDIUM,Same Ketchikan Public Utilities account/domain as the existing Batch 1 electric row.
BATCH_2_LOCAL_UTILITY_REVIEW,39,AK,High,UTILITY_TRASH,Alaska Waste,alaska-waste-ak,START_STOP_SERVICE_PROVIDER,https://www.alaskawaste.com,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_MANUAL_REVIEW,,"Real regional hauler, but territory is unknown; keep hidden until service-area ZIPs or address-check behavior are confirmed.",alaskawaste.com,,live_address,,,yes,no,no,no,MEDIUM,"Real regional hauler, but territory is unknown; keep hidden until service-area ZIPs or address-check behavior are confirmed."
BATCH_2_LOCAL_UTILITY_REVIEW,42,AK,High,UTILITY_TRASH,City and Borough of Juneau Curbside Pickup Resource,juneau-curbside-pickup,START_STOP_SERVICE_PROVIDER,https://juneau.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,REJECT_RESOURCE_ONLY,,Curbside pickup resource/contractor guidance rather than a confirmed customer utility account provider.,juneau.org,,none,998,,yes,no,no,no,MEDIUM,Curbside pickup resource/contractor guidance rather than a confirmed customer utility account provider.
BATCH_2_LOCAL_UTILITY_REVIEW,40,AK,High,UTILITY_TRASH,Fairbanks North Star Borough Solid Waste Division,fairbanks-north-star-solid-waste,START_STOP_SERVICE_PROVIDER,https://www.fnsb.gov/288/Solid-Waste,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,REJECT_RESOURCE_ONLY,,Borough solid-waste information/drop-off surface; source notes it is not always curbside pickup or account service.,fnsb.gov,,none,997,,yes,no,no,no,MEDIUM,Borough solid-waste information/drop-off surface; source notes it is not always curbside pickup or account service.
BATCH_2_LOCAL_UTILITY_REVIEW,38,AK,High,UTILITY_TRASH,Municipality of Anchorage Solid Waste Services,anchorage-solid-waste-services,START_STOP_SERVICE_PROVIDER,https://www.muni.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.,muni.org,people-mover-ak,zip_prefix,995,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local trash/sanitation collection provider or municipal service surface; address context is required and no statewide coverage is assumed.
BATCH_2_LOCAL_UTILITY_REVIEW,24,AK,High,UTILITY_WATER,City and Borough of Juneau Water Utility,juneau-water-utility,START_STOP_SERVICE_PROVIDER,https://juneau.org,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,juneau.org,,zip_prefix,998,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,23,AK,High,UTILITY_WATER,College & Golden Heart Utilities Water,college-golden-heart-utilities-water,START_STOP_SERVICE_PROVIDER,https://www.mywater.us/alaska/about-us-menu,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,ADD_NEW_ACTIVE,,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.,mywater.us,,zip_prefix,997,,yes,yes_after_address_or_context_match,yes_after_address_or_context_match,yes,MEDIUM,Real local/regional utility account or municipal customer-service surface with start/stop/billing/address relevance for moving.
BATCH_2_LOCAL_UTILITY_REVIEW,25,AK,High,UTILITY_WATER,Ketchikan Public Utilities Water,ketchikan-public-utilities-water,START_STOP_SERVICE_PROVIDER,https://www.ketchikan.gov/water,official/provider or municipal source from original audit,ADD_MANUAL_REVIEW,UPDATE_EXISTING_ONLY,ketchikan-public-utilities-electric,Same Ketchikan Public Utilities account/domain as the existing Batch 1 electric row.,ketchikan.gov,ketchikan-public-utilities-electric,existing_provider_update,999,,yes,no,no,no,MEDIUM,Same Ketchikan Public Utilities account/domain as the existing Batch 1 electric row.
