"implementationBatch","sourceCsvRow","state","priority","category","providerName","proposedSlug","providerRole","officialWebsite","sourceType","candidateRecommendedAction","codexDecision","existingMatchedSlug","existingMatchReason","normalizedDomain","existingDomainSlugs","coverageModel","recommendedZipPrefixesIfKnown","exactZipsIfKnown","addressCheckRequired","shouldCreateMovingTask","shouldShowInNormalRecommendations","shouldShowTrackAsService","riskLevel","codexReason"
"BATCH_3_PROVIDER_CLEANUP_PLANNING","42","AK","High","UTILITY_TRASH","City and Borough of Juneau Curbside Pickup Resource","juneau-curbside-pickup","START_STOP_SERVICE_PROVIDER","https://juneau.org","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","juneau.org","","none","998","","yes","no","no","no","MEDIUM","Rejected under Batch 3 strict trash/sanitation rules: available artifacts indicate public-works, pickup, recycling, collection-day, education, or resource information rather than a confirmed customer account/start-stop/billing provider."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","40","AK","High","UTILITY_TRASH","Fairbanks North Star Borough Solid Waste Division","fairbanks-north-star-solid-waste","START_STOP_SERVICE_PROVIDER","https://www.fnsb.gov/288/Solid-Waste","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","fnsb.gov","","none","997","","yes","no","no","no","MEDIUM","Rejected under Batch 3 strict trash/sanitation rules: available artifacts indicate public-works, pickup, recycling, collection-day, education, or resource information rather than a confirmed customer account/start-stop/billing provider."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","60","CA","High","UTILITY_TRASH","San Jose Recycling and Garbage Services","san-jose-recycling-garbage","START_STOP_SERVICE_PROVIDER","https://www.sanjoseca.gov","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","sanjoseca.gov","","none","951","","yes","no","no","no","MEDIUM","Rejected under Batch 3 strict trash/sanitation rules: available artifacts indicate public-works, pickup, recycling, collection-day, education, or resource information rather than a confirmed customer account/start-stop/billing provider."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","28","CO","High","UTILITY_TRASH","Fort Collins Residential Trash and Recycling","fort-collins-trash-recycling","START_STOP_SERVICE_PROVIDER","https://www.fcgov.com/recycling","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","fcgov.com","","none","805","","yes","no","no","no","MEDIUM","Rejected under Batch 3 strict trash/sanitation rules: available artifacts indicate public-works, pickup, recycling, collection-day, education, or resource information rather than a confirmed customer account/start-stop/billing provider."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","52","CT","High","UTILITY_TRASH","Bridgeport Sanitation and Recycling","bridgeport-sanitation-recycling","START_STOP_SERVICE_PROVIDER","https://www.bridgeportct.gov/sanitation-and-recycling-page","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","bridgeportct.gov","","none","066","","yes","no","no","no","MEDIUM","City sanitation/recycling information page in available artifacts; no confirmed customer account, billing, start/stop, transfer, or service-address action."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","49","CT","High","UTILITY_TRASH","Hartford Department of Public Works Waste & Recycling","hartford-dpw-waste-recycling","START_STOP_SERVICE_PROVIDER","https://www.hartfordct.gov/Government/Departments/Public-Works","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","hartfordct.gov","","none","061","","yes","no","no","no","MEDIUM","Department of Public Works waste/recycling information surface; no confirmed customer account, billing, start/stop, transfer, or service-address action."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","50","CT","High","UTILITY_TRASH","New Haven Public Works Trash & Recycling","new-haven-public-works-trash-recycling","START_STOP_SERVICE_PROVIDER","https://www.newhavenct.gov","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","newhavenct.gov","","none","065","","yes","no","no","no","MEDIUM","Public Works trash/recycling information surface; no confirmed customer account, billing, start/stop, transfer, or service-address action."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","53","CT","High","UTILITY_TRASH","Stamford Recycling and Sanitation","stamford-recycling-sanitation","START_STOP_SERVICE_PROVIDER","https://www.stamfordct.gov/government/operations/recycling-and-sanitation/about","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","stamfordct.gov","","none","069","","yes","no","no","no","MEDIUM","Recycling and sanitation about/resource surface; no confirmed customer account, billing, start/stop, transfer, or service-address action."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","55","CT","High","UTILITY_TRASH","Waterbury Bureau of Refuse","waterbury-bureau-refuse","START_STOP_SERVICE_PROVIDER","https://www.waterburyct.org/services/public-works/solid-waste","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","waterburyct.org","","none","067","","yes","no","no","no","MEDIUM","Bureau of Refuse/public-works information surface; no confirmed customer account, billing, start/stop, transfer, or service-address action."
"BATCH_3_PROVIDER_CLEANUP_PLANNING","39","DC","High","UTILITY_TRASH","DPW Bulk Trash Collection","dc-dpw-bulk-trash","START_STOP_SERVICE_PROVIDER","https://dpw.dc.gov","official/provider or municipal source from original audit","ADD_MANUAL_REVIEW","REJECT_RESOURCE_ONLY","","","dpw.dc.gov","","none","200;202;203;204;205","","yes","no","no","no","MEDIUM","Rejected under Batch 3 strict trash/sanitation rules: available artifacts indicate public-works, pickup, recycling, collection-day, education, or resource information rather than a confirmed customer account/start-stop/billing provider."
