Katman | Önem | Bulgu | Neden sorun | Önerilen çözüm
Shared / Billing / Workspace | Yüksek | Family/Pro self-serve checkout, WORKSPACE_MODEL_ENABLED kapalıyken de çalışabiliyor | Checkout akışı sadece price ID ve terms kabulünü kontrol ediyor; workspace provisioning ve /api/workspaces yüzeyi flag kapalıyken inert. Price ID'ler canlıya girerse kullanıcı shared workspace vaadi için ödeme yapıp özelliği göremeyebilir | Family/Pro checkout ve pricing CTA'larını workspace flag + backfill/readiness koşuluna bağla; flag kapalıysa satışı kapat veya açık “coming soon/admin grant only” durumuna düşür
Shared / Deploy / Env Parity | Yüksek | docker-compose.prod.yml web/admin env whitelist'i Family/Pro Stripe ve mobile IAP anahtarlarını container'a taşımıyor | .env.production içinde değer olsa bile compose environment listesinde STRIPE_PRICE_FAMILY_*, STRIPE_PRICE_PRO_*, MOBILE_*, APPLE_APP_STORE_* ve GOOGLE_PLAY_* yok; web/admin billing ve IAP endpointleri null konfigürasyonla çalışır veya 503 döner | compose env listesini runtime-config/readiness anahtarlarıyla eşitle veya env_file ile tüm gerekli anahtarları geçir; CI'da compose-vs-runtime-config parity testi ekle
Shared / Env Templates | Yüksek | .env.example ve .env.production.example Family/Pro Stripe price ID'lerini içermiyor | production-readiness ve checkout Family/Pro için STRIPE_PRICE_FAMILY_* / STRIPE_PRICE_PRO_* bekliyor; template'i kopyalayan deploy ya /api/ready 503 alır ya da Family/Pro checkout kullanılamaz | Template'lere dört Family/Pro Stripe price ID'sini ekle; stripe sync scriptini Individual-only olmaktan çıkar veya Family/Pro çıktısı üret
Shared / Email Config | Orta | Prod env template public NEXT_PUBLIC_SUPPORT_EMAIL veriyor ama server email/readiness SUPPORT_EMAIL bekliyor | Legal/public sayfalar support adresi gösterebilirken transactional email config ve /api/ready “SUPPORT_EMAIL or EMAIL_REPLY_TO missing” hatasına düşer | SUPPORT_EMAIL'i env template ve compose'a ekle; gerekiyorsa NEXT_PUBLIC_SUPPORT_EMAIL ile server SUPPORT_EMAIL arasında bilinçli tek yönlü fallback kur
Shared / Mobile Billing Readiness | Yüksek | Production EAS store purchases açık, server readiness IAP ürün/credential hazır olmasını zorunlu tutmuyor | Mobil prod build purchase UI'ı açıyor; fakat /api/mobile/iap/products ürünleri runtime config'den okuyor ve /api/mobile/iap/verify Apple/Google credential yoksa 503/424 dönebiliyor. Yayın günü satın alma kullanıcıdan ücret alıp entitlement veremeyebilir | Mobile store flag'leri açıkken IAP product IDs, APPLE_BUNDLE_ID, Apple Server API, Google package/API/RTDN anahtarlarını readiness gate'e ekle; yayın öncesi products+verify smoke testi koş
Shared / Cron / Deploy Parity | Orta | GitHub cron, Vercel cron ve Ofelia cron listeleri farklı | GitHub workflow scheduled-delivery, local-hour reminder batch, daily weekly-digest ve birçok bakım job'ını kapsıyor; Vercel/Ofelia listeleri eksik veya farklı. Scheduler kaynağı değişirse queue, digest, cleanup veya publish işleri sessizce çalışmayabilir | Tek bir cron manifestinden GitHub/Vercel/Ofelia üret; /api/ready veya admin health'te “expected job coverage” kontrolü göster
Shared / Connectors / Consent Race | Orta | PartnerConsent için aktif grant tekilliği DB seviyesinde yok | Schema sadece index kullanıyor; upsertGrantedConsent findMany/create sonra fazlaları revoke ediyor. Paralel OAuth callbackleri iki GRANTED consent yaratabilir ve enqueue aynı connector için çift dispatch üretebilir | (userId, connectorKey) için aktif-grant unique stratejisi ekle: activeGrantKey, serializable transaction veya önce revoke sonra unique create; race testi ekle
Shared / Connectors / Soft Delete | Orta | Connector worker soft-deleted kullanıcı kuyruğunu açıkça durdurmuyor | runDueDispatches status'a göre row seçiyor; account deletion grace sadece kullanıcıyı soft-delete edip session'ları öldürüyor. Var olan ConnectorDispatch satırı partner sync veya NEEDS_USER bildirimi üretebilir | Soft-delete başlatılırken queued/dispatching rows'u NEEDS_USER/CANCELED yap; worker'da user.deletedAt guard'ı ve test ekle
Shared / Notifications / Soft Delete | Orta | Notification helper'ları stale userId ile in-app/push yan etkisi üretebiliyor | createInAppNotification kullanıcı aktif mi bakmadan Notification oluşturuyor; direct NotificationQueue/admin/workspace çağrıları stale userId taşırsa grace-window hesabına feed/push/email denemesi oluşabilir | createInAppNotification/sendNotification içinde aktif User guard'ı merkezileştir; soft-delete başlangıcında pushDevice ve NotificationQueue temizliği veya disable işareti ekle
Shared / DB / Invitation Integrity | Düşük | WorkspaceInvitation duplicate-pending kuralı DB'de partial unique ile korunmuyor | API serializable transaction ile canlı pending invite tekrarını engelliyor, ancak DB unique [workspaceId, invitedEmail, expiresAt] farklı expiresAt ile çift canlı invite'ı yapısal olarak engellemiyor | pendingActiveKey gibi nullable unique alan veya generated active key ekle; app guard'ı koru
Shared / Runtime / Local QA | Düşük | Testler Node 24.12 üzerinde engine 22.x uyarısıyla çalışıyor | Web/admin/shared/connectors testleri geçti ama runtime farkı native/mobile ve Next davranışlarında CI/prod ile sapma yaratabilir | Yerel çalışma ortamını Node 22.x'e pinle; .node-version/Volta ve CI engine check ekle
