"dataCategory","dataType","collected","shared","purpose","requiredOrOptional","encryptedInTransit","userCanRequestDeletion","evidence","recommendedPlayAnswer","uncertainty"
"Personal info","Name email account identifiers","yes","service providers only","Account login authentication support","required for account","yes","yes","auth/profile/login-required mobile app","Disclose as collected for app functionality account management and support","low"
"Personal info","Phone number if user enters it","possible","service providers only","Move/provider/contact workflows","optional unless user enters it","yes","yes","profile/provider/service data may include contact fields","Disclose if visible submitted build lets users enter phone numbers","medium"
"User content","Addresses move details provider/service records tasks budgets notes","yes","service providers only","Move planning organization provider tracking and account sync","required for core app value when entered","yes","yes","moving address budget provider service and checklist flows","Disclose as user-provided content for app functionality","low"
"App activity","Screen views taps searches feature usage","yes when analytics consent enabled","analytics/service providers only","Analytics reliability and product improvement","optional consent controlled","yes","yes","apps/mobile/src/lib/analytics.ts and SessionTracker","Disclose app interactions and in-app search history only as collected for analytics if enabled","medium"
"Diagnostics","Crash logs error logs performance diagnostics","yes if error reporter configured","service providers only","Debugging reliability and abuse prevention","automatic or optional depending config","yes","yes","apps/mobile/src/lib/sentry.ts","Disclose diagnostics collected for app functionality analytics and crash analysis","low"
"Device or other IDs","Expo push token device name model platform OS","yes if notifications/session tracking enabled","service providers only","Push notifications session security and support","optional for notifications; session metadata may be automatic","yes","yes","apps/mobile/src/lib/push.ts and SessionTracker","Disclose device or other IDs for app functionality notifications analytics and security","low"
"Financial info","Android subscription purchase history/status","yes when Play Billing enabled","Google Play/service providers only","Subscription entitlement billing support fraud prevention","optional purchase","yes","yes","expo-iap client and Google Play backend verification","Disclose purchase history/subscription metadata; payment instrument data is handled by Google Play, not LocateFlow mobile","low"
"Financial info","Web Stripe subscription metadata for existing users","yes for web-paid accounts","Stripe/service providers only","Entitlement billing status support","required for paid web entitlement accounts","yes","yes","mobile profile/subscription screens read backend subscription state","Disclose subscription metadata; do not claim mobile Stripe checkout","low"
"Files and docs","User-selected files documents or photos","not found active in mobile source","unknown","Future upload or attachment workflows if enabled","optional user initiated","yes if uploaded","yes","picker dependencies exist but no active mobile picker source usage found","Answer No for this submitted build unless a visible picker/upload feature is enabled","medium"
"Photos and videos","Camera capture","no","no","Not used in this build","not applicable","not applicable","not applicable","no active camera API usage and CAMERA is blocked","Answer No for camera/photo capture in this build","low"
"Location","Precise or approximate device location","no device location API found","no","Not used as runtime device location in this build","not applicable","yes for network data","yes","no expo-location/geolocation runtime permission found; app stores user-entered addresses","Do not disclose device location unless runtime location APIs are enabled; disclose addresses as user content/personal info","low"
"Messages","Support messages or contact requests","possible","service providers only","Customer support and issue resolution","optional","yes","yes","support/contact flows may collect user text","Disclose if support/contact forms are visible in submitted build","medium"

